"date","matchup","ID","name.x","label","slug.y","name.y","field_type","state","longitude","attendance","broadcast","daytime","duration","temperature","temperature_unit","weather_conditions","wind_direction","wind_speed","wind_speed_unit","at_bats","balks","batting_average","caught_stealing","complete_games","double_plays","doubles","earned_run_average","earned_runs_against","errors_made","games_lost","games_played","games_won","grounded_into_double_plays","hit_batters","hit_by_pitch","hits","home_runs","intentional_walks","intentional_walks_against","left_on_base","on_base_percentage","on_base_plus_slugging","outs_pitched","passed_balls","pickoffs","rlisp_two_out","runs","runs_batted_in","runs_inning_1","runs_inning_2","runs_inning_3","runs_inning_4","runs_inning_5","runs_inning_6","runs_inning_7","runs_inning_8","runs_inning_9","runs_inning_10","runs_inning_11","runs_inning_12","runs_inning_13","runs_inning_14","runs_inning_15","runs_inning_16","runs_inning_17","runs_inning_18","runs_inning_19","runs_inning_20","runs_inning_21","runs_inning_22","runs_inning_23","runs_inning_24","runs_inning_extra","sacrifice_flys","sacrifice_hits","saves","shutouts","slugging_percentage","stolen_bases","strikeouts","team_left_on_base","total_bases","triple_plays","triples","two_out_left_on_base","walks","whip","wild_pitches"
2016-07-28,"COL-NYM","COL-NYM-2016-07-28","Rockies vs Mets July 28, 2016 at  1:10pm","Rockies vs Mets","mlb-col","Citi Field","grass","NY",-73.8501765,38292,"SNY",TRUE,11580,NA,NA,NA,NA,NA,NA,36,0,0.222,0,0,1,0,1,1,1,0,0,1,0,0,0,8,0,1,1,23,0.282,0.504,27,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.222,1,0,10,8,0,0,3,2,1.222,0
2016-06-29,"TOR-COL","TOR-COL-2016-06-29","Blue Jays vs Rockies June 29, 2016 at  1:10pm","Blue Jays vs Rockies","mlb-col","Coors Field","grass","CO",-104.9935598,38412,"ROOT SPORTS",TRUE,11820,87,"f","cloudy","Out to Center",2,"mph",34,0,0.265,0,0,1,3,4,4,1,1,0,0,2,1,1,9,0,0,0,16,0.342,0.695,27,0,1,2,3,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353,0,6,8,12,0,0,2,3,1.889,1
2016-05-19,"COL-STL","COL-STL-2016-05-19","Rockies vs Cardinals May 19, 2016 at  6:15pm","Rockies vs Cardinals","mlb-col","Busch Stadium","grass","MO",-90.1994042,43683,"FS-M",FALSE,11760,69,"f","cloudy","Right to Left",6,"mph",36,0,0.25,0,0,1,1,14.625,13,0,1,0,0,0,2,0,9,1,0,0,9,0.289,0.65,24,0,0,2,7,7,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361,0,10,4,13,0,0,2,2,2,2
2016-03-02,"ARI-COL","ARI-COL-2016-03-02","Diamondbacks vs Rockies March  2, 2016 at  3:10pm","Diamondbacks vs Rockies","mlb-col","Salt River Fields at Talking Stick","grass","AZ",NA,NA,"",TRUE,NA,84,"f","cloudy","In from Right",4,"mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-07,"PHI-COL","PHI-COL-2016-07-07","Phillies vs Rockies July  7, 2016 at  6:40pm","Phillies vs Rockies","mlb-col","Coors Field","grass","CO",-104.9935598,35250,"ROOT SPORTS",FALSE,10380,NA,NA,NA,NA,NA,NA,37,0,0.378,0,0,1,3,2,2,0,0,0,1,0,1,0,14,3,0,0,10,0.395,1.098,27,0,0,0,11,11,1,1,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.703,1,0,4,26,0,0,3,1,1.111,0
2016-03-27,"COL-ARI","COL-ARI-2016-03-27","Rockies vs Diamondbacks March 27, 2016 at  4:10pm","Rockies vs Diamondbacks","mlb-col","Salt River Fields at Talking Stick","grass","AZ",NA,NA,"FS-A",TRUE,NA,82,"f","sunny","Right to Left",5,"mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,8,NA,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-25,"ARI-COL","ARI-COL-2016-06-25","Diamondbacks vs Rockies June 25, 2016 at  2:10pm","Diamondbacks vs Rockies","mlb-col","Coors Field","grass","CO",-104.9935598,33337,"ROOT SPORTS",TRUE,12900,81,"f","cloudy","In from Center",1,"mph",37,0,0.405,1,0,3,6,6,6,1,0,0,1,0,0,0,15,3,1,1,12,0.463,1.274,27,0,0,4,11,11,1,0,0,3,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.811,0,6,7,30,0,0,4,3,2.111,0
2016-05-26,"COL-BOS","COL-BOS-2016-05-26","Rockies vs Red Sox May 26, 2016 at  7:10pm","Rockies vs Red Sox","mlb-col","Fenway Park","grass","MA",-71.0948148,36162,"NESN",FALSE,10260,63,"f","cloudy","Right to Left",12,"mph",38,0,0.316,0,0,0,2,2,2,0,0,0,1,0,0,0,12,3,0,0,13,0.308,0.913,27,0,0,1,8,8,0,0,0,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.605,0,6,4,23,0,0,1,0,1.111,0
2016-08-02,"LA-COL","LA-COL-2016-08-02","Dodgers vs Rockies August  2, 2016 at  6:40pm","Dodgers vs Rockies","mlb-col","Coors Field","grass","CO",-104.9935598,32607,"ROOTRM",FALSE,12480,NA,NA,NA,NA,NA,NA,31,0,0.355,0,0,0,2,3,3,0,0,0,1,3,0,1,11,0,1,1,23,0.5,0.919,27,0,0,0,7,7,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.419,0,0,10,13,0,0,5,7,0.889,0
2016-05-17,"COL-STL","COL-STL-2016-05-17","Rockies vs Cardinals May 17, 2016 at  7:15pm","Rockies vs Cardinals","mlb-col","Busch Stadium","grass","MO",-90.1994042,41109,"FS-M",FALSE,9840,52,"f","cloudy","Right to Left",10,"mph",33,0,0.212,0,0,0,0,1,1,0,0,0,1,1,0,0,7,0,0,0,16,0.297,0.509,27,0,0,2,3,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.212,1,9,8,7,0,0,2,4,1,0
2016-07-25,"COL-BAL","COL-BAL-2016-07-25","Rockies vs Orioles July 25, 2016 at  7:05pm","Rockies vs Orioles","mlb-col","Oriole Park at Camden Yards","grass","MD",-76.6206139,19361,"MASN",FALSE,11640,NA,NA,NA,NA,NA,NA,33,0,0.182,2,0,2,0,0.964,1,3,1,0,0,1,1,1,6,1,0,0,10,0.25,0.523,28,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,4,9,0,0,2,2,0.964,0
2016-06-22,"COL-NYY","COL-NYY-2016-06-22","Rockies vs Yankees June 22, 2016 at  1:05pm","Rockies vs Yankees","mlb-col","Yankee Stadium","grass","NY",-73.93031,40104,"YES",TRUE,12300,85,"f","sunny","Out to Right",15,"mph",35,0,0.257,0,0,1,1,9,8,1,1,0,0,0,1,0,9,2,0,1,9,0.297,0.754,24,0,0,2,8,8,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.457,0,11,3,16,0,0,2,2,2.125,0
