,date,home_win,p_ml_away_final,r_log_win_actual_payout,r_log_win_actual_payout_adj,r_lin_win_actual_payout,r_lin_win_actual_payout_adj,log_o6_final,log_o7_final,log_o8_final,log_o6_final_adj,log_o7_final_adj,log_o8_final_adj,lin_o6_final,lin_o7_final,lin_o8_final,lin_o6_final_adj,lin_o7_final_adj,lin_o8_final_adj
0,2010-05-01,10,1762.0,-323.11,-935.7699999999998,68.01999999999998,-381.37000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2010-05-02,11,1319.0,232.16,1594.8799999999999,-396.02,229.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2010-05-03,3,586.0,-43.1,-470.99,-367.0,-1467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2010-05-04,8,212.0,123.48000000000002,-525.39,434.6700000000001,2502.7500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2010-05-05,9,520.0,-158.74000000000004,988.3699999999999,-133.11,-189.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2010-05-06,5,285.0,-120.01999999999998,199.88000000000005,517.0200000000001,2592.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2010-05-07,3,257.0,88.96000000000002,-680.21,32.890000000000015,316.85000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2010-05-08,8,97.0,81.28,-147.46999999999997,176.08999999999997,-227.85000000000008,0.0,200.0,0.0,0.0,600.0,0.0,0.0,200.0,0.0,0.0,600.0,0.0
8,2010-05-09,10,-232.0,-402.97,-686.04,-258.94,537.08,0.0,95.24,0.0,0.0,476.19,0.0,0.0,95.24,0.0,0.0,476.19,0.0
9,2010-05-10,2,70.0,-57.0,-155.26999999999998,33.09,295.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2010-05-11,2,-242.0,434.54999999999995,1673.5400000000002,92.44999999999999,659.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2010-05-12,6,995.0,-914.3199999999999,-3134.38,1052.8600000000001,3144.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2010-05-13,5,661.0,27.909999999999997,474.81000000000006,-301.09000000000003,-158.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2010-05-14,5,739.0,172.2,269.61,-721.26,-1785.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2010-05-15,8,901.0,-196.67000000000002,-256.9599999999999,-283.0,-1051.2800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2010-05-16,11,651.0,258.42,368.38,-80.37999999999998,929.5799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2010-05-17,4,706.0,96.94,370.78,-57.46000000000001,-155.29000000000002,0.0,81.3,0.0,0.0,81.3,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0
17,2010-05-18,11,1577.0,434.28,2629.5999999999995,114.27999999999997,325.7399999999999,0.0,92.59,0.0,0.0,370.37,0.0,0.0,92.59,0.0,0.0,370.37,0.0
18,2010-05-19,4,604.0,-155.69000000000003,-875.35,-14.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2010-05-20,8,1118.0,73.11999999999996,-61.51000000000002,-298.86,726.3499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2010-05-21,1,-141.0,31.54000000000002,43.75999999999999,268.40000000000003,1411.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2010-05-22,7,608.0,-98.38000000000002,-365.5300000000002,662.93,2184.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2010-05-23,5,579.0,-345.82000000000005,-464.47999999999996,-95.94,-477.3799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2010-05-24,1,164.0,32.79,-113.35999999999999,32.79,-113.35999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2010-05-25,4,257.0,-239.95999999999998,-839.96,-200.7,-800.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2010-05-26,7,636.0,-389.49,-1554.58,98.55000000000001,717.45,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0
